date,ticker,open,high,low,close,volume
2025-01-01,AAA,100.0,100.62,99.93,100.55,1097153
2025-01-02,AAA,100.55,102.25,100.43,102.13,964879
2025-01-03,AAA,102.13,104.19,101.74,103.79,929578
2025-01-06,AAA,103.79,104.65,103.55,104.41,930140
2025-01-07,AAA,104.41,105.71,103.41,104.71,741262
2025-01-08,AAA,104.71,105.24,103.65,104.18,1047137
2025-01-09,AAA,104.18,104.91,102.55,103.28,1219847
2025-01-10,AAA,103.28,103.32,103.07,103.1,786287
2025-01-13,AAA,103.1,103.16,102.53,102.59,827350
2025-01-14,AAA,102.59,103.34,102.28,103.03,956245
2025-01-15,AAA,103.03,103.98,101.51,102.46,997975
2025-01-16,AAA,102.46,102.88,101.01,101.43,816873
2025-01-17,AAA,101.43,102.69,100.43,101.69,800772
2025-01-20,AAA,101.69,102.32,101.31,101.94,1025705
2025-01-21,AAA,101.94,102.09,101.72,101.87,778221
2025-01-22,AAA,101.87,102.11,100.96,101.19,1158568
2025-01-23,AAA,101.19,102.48,100.3,101.59,1048612
2025-01-24,AAA,101.59,101.93,100.91,101.25,1091751
2025-01-27,AAA,101.25,102.82,100.78,102.34,874117
2025-01-28,AAA,102.34,102.51,101.91,102.08,1146331
2025-01-29,AAA,102.08,102.17,101.55,101.64,834049
2025-01-30,AAA,101.64,102.05,100.07,100.47,1203436
2025-01-31,AAA,100.47,100.98,99.95,100.45,1054245
2025-02-03,AAA,100.45,100.63,99.67,99.85,1230705
2025-02-04,AAA,99.85,100.65,99.07,99.87,607038
2025-02-05,AAA,99.87,100.78,99.83,100.74,955148
2025-02-06,AAA,100.74,101.89,99.74,100.88,967049
2025-02-07,AAA,100.88,102.04,100.14,101.29,922259
2025-02-10,AAA,101.29,101.55,100.27,100.52,1137310
2025-02-11,AAA,100.52,101.17,100.26,100.91,1076990
2025-02-12,AAA,100.91,101.54,100.42,101.05,894692
2025-02-13,AAA,101.05,101.25,100.58,100.77,780472
2025-02-14,AAA,100.77,101.25,100.64,101.12,1000767
2025-02-17,AAA,101.12,101.84,100.22,100.94,936903
2025-02-18,AAA,100.94,101.34,100.24,100.64,975807
2025-02-19,AAA,100.64,102.05,99.69,101.1,1026186
2025-02-20,AAA,101.1,101.45,101.06,101.41,712184
2025-02-21,AAA,101.41,101.46,101.38,101.43,1369486
2025-02-24,AAA,101.43,101.58,101.13,101.29,994793
2025-02-25,AAA,101.29,101.87,99.58,100.15,1112789
2025-02-26,AAA,100.15,101.46,99.7,101.0,1210419
2025-02-27,AAA,101.0,101.29,99.34,99.63,1328568
2025-02-28,AAA,99.63,99.91,98.41,98.69,1014947
2025-03-03,AAA,98.69,99.46,97.48,98.25,1010284
2025-03-04,AAA,98.25,98.48,97.02,97.25,862086
2025-03-05,AAA,97.25,99.2,96.87,98.81,951690
2025-03-06,AAA,98.81,100.27,98.2,99.66,1034118
2025-03-07,AAA,99.66,101.83,98.86,101.01,1027695
2025-03-10,AAA,101.01,101.72,100.62,101.33,814457
2025-03-11,AAA,101.33,101.59,99.78,100.04,1044547
2025-03-12,AAA,100.04,100.51,99.87,100.34,897996
2025-03-13,AAA,100.34,100.77,100.19,100.62,892847
2025-03-14,AAA,100.62,102.79,100.39,102.55,821304
2025-03-17,AAA,102.55,103.78,102.05,103.28,1118062
2025-03-18,AAA,103.28,104.95,102.85,104.52,1144506
2025-03-19,AAA,104.52,105.44,104.09,105.01,1284518
2025-03-20,AAA,105.01,105.4,104.41,104.8,866572
2025-03-21,AAA,104.8,104.84,103.96,104.0,1051172
2025-03-24,AAA,104.0,104.77,103.57,104.34,1001950
2025-03-25,AAA,104.34,106.05,104.2,105.91,1408025
2025-03-26,AAA,105.91,107.08,105.45,106.62,839366
2025-03-27,AAA,106.62,107.31,106.5,107.19,1107100
2025-03-28,AAA,107.19,107.79,107.15,107.75,872980
2025-03-31,AAA,107.75,107.99,105.94,106.17,1128459
2025-04-01,AAA,106.17,107.12,105.51,106.45,1025977
2025-04-02,AAA,106.45,107.39,105.98,106.92,1023058
2025-04-03,AAA,106.92,107.65,106.31,107.03,1053668
2025-04-04,AAA,107.03,108.27,106.45,107.69,1158070
2025-04-07,AAA,107.69,108.19,105.76,106.26,1077255
2025-04-08,AAA,106.26,107.13,105.98,106.86,1577909
2025-04-09,AAA,106.86,108.13,106.25,107.52,1143100
2025-04-10,AAA,107.52,108.45,107.35,108.27,1113845
2025-04-11,AAA,108.27,108.4,107.36,107.49,927195
2025-04-14,AAA,107.49,108.88,106.25,107.63,719910
2025-04-15,AAA,107.63,109.3,106.77,108.43,929210
2025-04-16,AAA,108.43,109.7,108.39,109.66,838338
2025-04-17,AAA,109.66,110.03,108.56,108.93,890445
